,Date,Actual,Predicted
528,2017-12-11,0.0,0.0
248,2017-03-06,0.0,0.0
335,2017-06-01,1.0,1.0
329,2017-05-26,1.0,1.0
274,2017-04-01,1.0,0.0
390,2017-07-26,1.0,1.0
177,2016-12-25,0.0,0.0
422,2017-08-27,1.0,1.0
411,2017-08-16,1.0,1.0
83,2016-09-22,1.0,1.0
420,2017-08-25,1.0,1.0
332,2017-05-29,1.0,1.0
426,2017-08-31,0.0,0.0
79,2016-09-18,1.0,1.0
23,2016-07-24,0.0,0.0
249,2017-03-07,0.0,0.0
357,2017-06-23,1.0,1.0
213,2017-01-30,0.0,1.0
260,2017-03-18,0.0,0.0
644,2018-04-06,0.0,1.0
296,2017-04-23,1.0,1.0
271,2017-03-29,0.0,0.0
137,2016-11-15,1.0,0.0
290,2017-04-17,1.0,0.0
33,2016-08-03,0.0,0.0
218,2017-02-04,0.0,0.0
247,2017-03-05,0.0,0.0
9,2016-07-10,0.0,0.0
22,2016-07-23,0.0,0.0
286,2017-04-13,1.0,1.0
588,2018-02-09,0.0,0.0
654,2018-04-16,0.0,0.0
643,2018-04-05,0.0,1.0
84,2016-09-23,1.0,0.0
